rank,city,state,population2012,population2010,land_area,density,ansi,lat,lon
265,Odessa,Texas,106102,99940,41.955,2382,2411303,31.8804,102.3434
266,Antioch,California,105508,102372,28.349,3611,2409715,37.9775,121.7976
267,Temecula,California,105208,100097,30.151,3320,2412044,33.5019,117.1246
268,Green Bay,Wisconsin,104868,104057,45.467,2289,1583309,44.5207,87.9842
269,Everett,Washington,104655,103019,33.447,3080,2410469,48.0033,122.1742
270,Wichita Falls,Texas,104552,104553,72.140,1449,2412261,33.9067,98.5259
271,Burbank,California,104391,103340,17.341,5959,2409939,34.189,118.3249
272,Palm Bay,Florida,104124,103190,65.702,1571,2404463,27.9856,80.6626
273,Centennial,Colorado,103743,100377,28.722,3495,2409422,39.5906,104.8691
274,Daly City,California,103690,101123,7.664,13195,2410291,37.7009,122.465
275,Richardson,Texas,103297,99223,28.564,3474,2410933,32.9723,96.7081
276,Pompano Beach,Florida,102984,99845,24.002,4160,2404547,26.2426,80.129
277,Broken Arrow,Oklahoma,102019,98850,61.571,1605,2409914,36.0365,95.781
278,North Charleston,South Carolina,101989,97471,,,,32.8853,80.0169
279,West Palm Beach,Florida,101903,99919,55.293,1807,2405713,26.7483,80.1266
280,Boulder,Colorado,101808,97385,,,,40.0175,105.2797
281,Rialto,California,101740,99171,22.351,4437,2410931,34.1118,117.3883
282,Santa Maria,California,101459,99553,22.756,4375,2411824,34.9332,120.4438
283,El Cajon,California,101435,99478,14.433,6892,2410406,32.8017,116.9605
284,Davenport,Iowa,101363,99685,62.948,1584,2394467,41.5541,90.604
285,Erie,Pennsylvania,101047,101786,19.081,5334,1215209,42.1166,80.0735
286,Las Cruces,New Mexico,101047,97618,76.290,1279,,32.3197,106.7653
287,South Bend,Indiana,100800,101168,41.458,2440,2395913,41.6769,86.269
288,Flint,Michigan,100515,102434,33.416,3065,1626285,43.0244,83.692
289,Kenosha,Wisconsin,100150,99218,,,,42.5822,87.8456
